Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C2,1u,C_0805_2012Metric,1, ,~
2,Unpolarized capacitor,C,C1,4u7,C_0805_2012Metric,1, ,~
3,Light emitting diode,LED,D1,LED,LED_0805_2012Metric,1, ,~
4,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06,J2,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,1, ,~
5,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x10,J1,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,1, ,~
6,Resistor,R,R3,110,R_0805_2012Metric,1, ,~
7,Resistor,R,R2 R4 R5,620,R_0805_2012Metric,3, ,~
8,Resistor,R,R1 R6,10k,R_0805_2012Metric,2, ,~
9,,LTC4332,U1,LTC4332,QFN-20-1EP_4x5mm_P0.5mm_EP2.65x3.65mm,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/LTC4332.pdf





Project info:
Schematic:,ltc4332_breakout
Variant:,default
Revision:,0
Date:,2022-06-23
KiCad Version:,6.0.6-3a73a75311~116~ubuntu22.04.1
Statistics:
Component Groups:,9
Component Count:,12 (10 SMD/ 2 THT)
Fitted Components:,12 (10 SMD/ 2 THT)
Number of PCBs:,1
Total Components:,12
